00:04 glukoz          : r
00:16 laykTR          : redesx
00:21 laykTR          : knk ben kapatamam
00:22 laykTR          : konuşamam pardon
00:22 laykTR          : yazmaıy unuttum
00:23 laykTR          : benimi ?
00:24 laykTR          : pvp sw si değilmi lan bura
00:24 laykTR          : adam kesiyoz diye dalıyo
00:24 laykTR          : modaretör
00:24 laykTR          : yooooooo
00:24 laykTR          : loglarda durar
00:24 laykTR          : ÜŞDFGK
00:25 laykTR          : bişey verme
00:25 laykTR          : kendi kasılsın
00:25 laykTR          : olr
00:25 laykTR          : ztn pvp atmayı bilmiyo
00:25 laykTR          : hile yasak
00:25 laykTR          : benle aynı zırhı ver
00:25 laykTR          : bekle
00:25 laykTR          : item topluyodum
00:25 laykTR          : yemek ver
00:25 laykTR          : yayından bak
00:26 laykTR          : knk sandığa koysam
00:26 laykTR          : setimi
00:26 laykTR          : sana güvenmiyom
00:26 laykTR          : atmıyom o zaman vs
00:26 laykTR          : bekle
00:26 laykTR          : ben her an çıka bilirim
00:27 laykTR          : babam kapata bilir
00:27 laykTR          : kopyala
00:27 laykTR          : yapıştır yap
00:28 laykTR          : yazı olarak dedfi
00:28 laykTR          : m
00:28 laykTR          : yapma
00:29 laykTR          : istemiyom
00:29 laykTR          : eğlenmek
00:29 laykTR          : item kasıyom
00:29 laykTR          : bb
00:29 laykTR          : efe eylensiz
00:29 laykTR          : azcık
00:30 laykTR          : evt
00:30 laykTR          : ne ypacan
00:30 laykTR          : yooooo
00:31 laykTR          : pişiriyom
00:31 laykTR          : evet
00:31 laykTR          : tp at
00:31 laykTR          : yoo
00:31 laykTR          : altın
00:31 laykTR          : kasıyom
00:32 laykTR          : yemek beklerken
00:32 laykTR          : amaç yemek
00:32 laykTR          : hipnoz gibi a.
00:33 laykTR          : tamamm
00:33 laykTR          : yemekleri pişirmeden verse e
00:34 glukoz          : Meteor on Crack!
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 laykTR          : as
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:34 glukoz          : Sa
00:35 glukoz          : Sa
00:35 glukoz          : sas
00:35 glukoz          : s
00:35 glukoz          : s
00:35 glukoz          : s
00:35 laykTR          : Redex_555 knk
00:35 Redex_555       : Bbekle
00:35 laykTR          : 24 tavuk vereyim
00:35 laykTR          : hadi acele
00:36 laykTR          : işim var
00:36 laykTR          : shalkır kesçem
00:37 laykTR          : yayın aç
00:38 laykTR          : bilmiyom
00:41 laykTR          : Redex_555 gel ses
00:41 laykTR          : çalışmıyo bu
00:41 Redex_555       : bekle
00:43 laykTR          : nerde
00:43 laykTR          : sin
00:43 glukoz          : redux
00:43 glukoz          : ses gel
00:43 Redex_555       : LAN
00:43 glukoz          : noldy
00:44 Redex_555       : neyse ben kaçar
00:44 glukoz          : knk
00:44 glukoz          : redux
00:44 Redex_555       : H
00:44 Redex_555       : He
00:44 glukoz          : çıkmadan önce gel bi
00:44 laykTR          : shalkır çalışmıyo
00:44 glukoz          : bana
00:44 glukoz          : gel
00:45 glukoz          : gfel
00:45 glukoz          : gel knk
00:45 glukoz          : redx gel
00:45 glukoz          : w
00:46 glukoz          : sa
00:46 laykTR          : as
00:46 glukoz          : çekme göt
00:46 Redex_555       : as
00:46 laykTR          : shulkereasdser çalışmıyo
00:47 glukoz          : v
00:47 glukoz          : sa
00:47 laykTR          : as
00:47 glukoz          : sal göt
00:47 Redex_555       : yooo
00:47 glukoz          : erkek adam acı çekmez
00:48 glukoz          : lanm
00:48 glukoz          : olum sal
00:48 Redex_555       : Ban amicam
00:48 Redex_555       : *atmicam
00:48 Redex_555       : ama
00:48 Redex_555       : acı çektiricem
00:48 Redex_555       : :D
00:49 glukoz          : sal
00:49 glukoz          : çekmem
00:49 glukoz          : knk
00:49 Redex_555       : Ayn
00:49 glukoz          : banla beni pls
00:54 laykTR          : hg
00:57 laykTR          : Baba ne yapıyon şu an
00:58 Baba            : geziyom
